feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
eda_scr_amp_max,1,10.250000,0.080611,0.031281,60.837875,1775.047991
ibi_mean,2,15.750000,0.072136,0.022904,71.902880,18.027962
acc_spec_entropy,3,19.000000,0.055187,0.017339,184.762932,505.126912
acc_svm_range,4,20.000000,0.059425,0.018412,58.093994,505.129847
eda_max,5,21.000000,0.059425,0.012366,82.184330,98.040780
acc_pow_rapid,6,21.250000,0.074255,0.018472,20.352581,16645.259227
eda_scl_mean,7,22.250000,0.029042,0.025866,89.121494,15.373641
st_range,8,22.250000,0.068605,0.015524,68.598944,7.395839
bvp_pw50,9,23.250000,0.072136,0.025039,48.543703,1.575306
st_slope,10,24.000000,0.090498,0.057468,26.210677,1.249895
eda_scr_auc,11,24.250000,0.059425,0.011562,42.521035,2029.117543
acc_svm_kurt,12,24.250000,0.001593,0.025391,1272.817070,22.977616
st_rate_change,13,25.000000,0.090498,0.055477,26.210677,1.249895
bvp_hr_std,14,25.000000,0.047723,0.025998,78.468662,2.577748
acc_x_std,15,25.250000,0.052362,0.008261,59.297806,7557.559476
acc_pow_voluntary,16,25.250000,0.063662,0.016408,22.982778,3239.155646
acc_activity_count,17,25.500000,0.061543,0.001785,105.443477,1509.542597
st_std,18,25.750000,0.068605,0.012425,41.768437,12.020594
acc_svm_mean,19,25.750000,0.052362,0.005187,83.715112,10105.995761
eda_range,20,26.250000,0.063662,0.002637,80.884459,300.372444
acc_y_std,21,26.500000,0.055187,0.006471,61.848065,3208.091888
acc_corr_xy,22,26.500000,0.077080,0.001781,90.734675,14.071136
acc_svm_std,23,28.250000,0.063662,0.004397,34.153442,12147.530120
eda_scl_slope,24,28.250000,0.045432,0.020187,37.878832,19.725371
eda_scr_rec_time,25,28.500000,0.080611,0.000000,132.613977,9.377594
acc_pow_sway,26,30.000000,0.080611,0.000000,27.834297,98409.325302
bvp_kurt,27,30.500000,0.051843,0.041461,45.631929,1.014080
eda_mean,28,31.750000,0.024733,0.007481,89.437061,15.466702
acc_corr_xz,29,32.500000,0.068605,0.002008,55.956020,5.527320
bvp_notch_depth,30,32.750000,0.057306,0.024911,30.943731,1.252535
acc_pow_tremor,31,33.500000,0.024805,0.000000,87.854261,32943.504549
acc_z_std,32,33.750000,0.052362,0.001771,57.994503,1364.464846
bvp_sys_amp_mean,33,33.750000,0.061543,0.016464,29.599429,1.364168
eda_spec_centroid,34,34.750000,0.063662,0.048400,16.629796,0.764704
eda_std,35,34.750000,0.059425,0.000000,43.489879,417.855490
eda_scr_rate,36,35.000000,0.058718,0.020861,31.124616,0.966068
eda_scl_delta,37,36.250000,0.024805,0.021752,25.046680,4.041189
bvp_skew,38,36.500000,0.051643,0.017964,43.013677,0.975749
eda_scr_count,39,36.750000,0.058718,0.016603,31.124616,0.966068
acc_x_mean,40,37.250000,0.000000,0.028613,79.759397,1.389845
acc_svm_skew,41,37.250000,0.000000,0.007062,307.442081,12.387438
bvp_sqi,42,39.750000,0.024320,0.020010,36.481603,1.069736
