feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
eda_scl_mean,1,10.250000,0.000000,0.000000,0.000000,1.101841
st_acf1,2,10.500000,0.000000,0.000000,0.000000,2.003117
st_range,3,16.250000,0.000000,0.000000,0.000000,0.796011
acc_svm_std,4,17.500000,0.000000,0.000000,0.000000,1017.900976
acc_svm_mean,5,17.500000,0.000000,0.000000,0.000000,550.033941
acc_activity_count,6,21.750000,0.000000,0.000000,0.000000,51.433702
st_std,7,21.750000,0.000000,0.000000,0.000000,0.581757
ibi_sd1_sd2,8,22.500000,0.000000,0.000000,0.000000,0.869852
acc_pow_rapid,9,23.000000,0.000000,0.000000,0.000000,957.422433
acc_spec_entropy,10,23.500000,0.000000,0.000000,0.000000,196.046823
acc_pow_tremor,11,23.750000,0.000000,0.000000,0.000000,328.809990
ibi_sampen,12,23.750000,0.000000,0.000000,0.000000,0.764871
acc_dom_freq,13,24.000000,0.000000,0.000000,0.000000,6.320547
acc_pow_sway,14,24.000000,0.000000,0.000000,0.000000,2564.098990
st_pow_slow,15,24.250000,0.000000,0.000000,0.000000,0.000000
acc_corr_xz,16,24.500000,0.000000,0.000000,0.000000,6.579758
ibi_sd2,17,25.000000,0.000000,0.000000,0.000000,0.765279
st_pow_ultra_slow,18,25.500000,0.000000,0.000000,0.000000,0.000000
ibi_dfa_alpha1,19,25.750000,0.000000,0.000000,0.000000,0.638776
acc_corr_xy,20,25.750000,0.000000,0.000000,0.000000,6.097461
acc_pow_voluntary,21,26.250000,0.000000,0.000000,0.000000,154.985894
st_max,22,26.500000,0.000000,0.000000,0.000000,0.332533
st_min,23,26.750000,0.000000,0.000000,0.000000,0.373608
ibi_total_pow,24,28.250000,0.000000,0.000000,0.000000,0.699345
st_asymmetry,25,29.250000,0.000000,0.000000,0.000000,0.000000
st_slope,26,29.250000,0.000000,0.000000,0.000000,0.282163
st_delta,27,30.000000,0.000000,0.000000,0.000000,0.343513
ibi_sd1,28,30.250000,0.000000,0.000000,0.000000,0.606270
st_rate_change,29,30.250000,0.000000,0.000000,0.000000,0.282163
acc_y_std,30,30.750000,0.000000,0.000000,0.000000,559.480702
acc_z_zcr,31,31.250000,0.000000,0.000000,0.000000,2.043956
st_mean,32,31.250000,0.000000,0.000000,0.000000,0.330997
acc_svm_range,33,32.000000,0.000000,0.000000,0.000000,51.931469
acc_z_std,34,32.500000,0.000000,0.000000,0.000000,86.137199
acc_svm_skew,35,32.500000,0.000000,0.000000,0.000000,7.793565
acc_x_std,36,32.500000,0.000000,0.000000,0.000000,353.700396
acc_y_zcr,37,33.500000,0.000000,0.000000,0.000000,1.276028
acc_x_zcr,38,34.250000,0.000000,0.000000,0.000000,1.717751
ibi_hfnu,39,34.500000,0.000000,0.000000,0.000000,0.447872
eda_pow_scr,40,37.250000,0.000000,0.000000,0.000000,338512.629486
eda_pow_vlf,41,37.750000,0.000000,0.000000,0.000000,521150.144854
acc_posture_trans,42,39.250000,0.000000,0.000000,0.000000,1.301710
acc_svm_kurt,43,40.750000,0.000000,0.000000,0.000000,3.505130
acc_corr_yz,44,41.250000,0.000000,0.000000,0.000000,4.772824
acc_x_mean,45,44.500000,0.000000,0.000000,0.000000,0.801701
ibi_lfnu,46,45.250000,0.000000,0.000000,0.000000,0.447872
eda_range,47,45.500000,0.000000,0.000000,0.000000,36.124666
acc_z_mean,48,45.750000,0.000000,0.000000,0.000000,0.697223
eda_scr_auc,49,46.250000,0.000000,0.000000,0.000000,518.787546
eda_max,50,46.500000,0.000000,0.000000,0.000000,8.593564
eda_std,51,47.500000,0.000000,0.000000,0.000000,38.483229
eda_scr_amp_mean,52,49.500000,0.000000,0.000000,0.000000,437.238738
eda_scr_amp_max,53,49.500000,0.000000,0.000000,0.000000,253.342256
acc_y_mean,54,50.750000,0.000000,0.000000,0.000000,0.548804
eda_scr_rec_time,55,51.500000,0.000000,0.000000,0.000000,6.008142
ibi_lf_hf,56,52.250000,0.000000,0.000000,0.000000,0.593170
eda_skew,57,52.750000,0.000000,0.000000,0.000000,0.729211
eda_mean,58,53.250000,0.000000,0.000000,0.000000,1.087846
eda_kurt,59,53.750000,0.000000,0.000000,0.000000,0.689972
ibi_lf,60,55.250000,0.000000,0.000000,0.000000,0.495169
eda_zcr,61,58.500000,0.000000,0.000000,0.000000,0.411693
eda_scr_rise_mean,62,59.250000,0.000000,0.000000,0.000000,0.720837
eda_scl_delta,63,59.250000,0.000000,0.000000,0.000000,1.220701
eda_min,64,62.500000,0.000000,0.000000,0.000000,0.396153
ibi_vlf,65,64.000000,0.000000,0.000000,0.000000,1.061796
eda_scl_slope,66,65.000000,0.000000,0.000000,0.000000,0.638106
eda_scr_rate,67,65.500000,0.000000,0.000000,0.000000,0.588527
eda_sampen,68,65.500000,0.000000,0.000000,0.000000,0.706442
eda_scr_count,69,66.000000,0.000000,0.000000,0.000000,0.588527
eda_spec_centroid,70,66.750000,0.000000,0.000000,0.000000,0.636446
ibi_cv,71,66.750000,0.000000,0.000000,0.000000,0.774187
bvp_hr_std,72,68.250000,0.000000,0.000000,0.000000,0.645509
ibi_mean,73,68.750000,0.000000,0.000000,0.000000,0.839411
