feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
bvp_ptt,1,11.500000,0.348521,0.046051,42.587417,19.016771
eda_std,2,12.750000,0.313648,0.024449,38.861251,297.408326
acc_y_std,3,12.750000,0.394306,0.026703,19.340229,967.956348
ibi_mean,4,13.500000,0.340549,0.025930,37.787224,32.801757
acc_x_std,5,14.250000,0.409132,0.019206,19.708930,905.266649
acc_svm_mean,6,15.750000,0.318146,0.015677,31.539169,1335.452826
acc_pow_voluntary,7,16.000000,0.327152,0.019061,36.962520,153.822701
eda_max,8,17.000000,0.311046,0.035321,27.333905,55.925016
eda_range,9,18.250000,0.291139,0.021735,27.500891,244.299125
st_std,10,18.750000,0.267764,0.035377,42.904564,12.105193
acc_pow_tremor,11,19.000000,0.279323,0.010108,81.543836,1620.495456
acc_corr_xy,12,19.000000,0.306427,0.024851,33.069598,16.226513
eda_scr_auc,13,19.500000,0.327319,0.021205,13.853291,797.396943
acc_activity_count,14,20.000000,0.334808,0.009342,40.005487,242.352590
acc_corr_yz,15,20.500000,0.245733,0.023002,55.264025,10.451101
eda_mean,16,21.750000,0.317325,0.010672,132.793544,10.104802
eda_scr_amp_mean,17,22.750000,0.366949,0.009242,18.867331,967.126508
bvp_hr_mean,18,23.250000,0.338017,0.010933,51.277275,3.048115
acc_y_zcr,19,23.250000,0.311077,0.013938,45.842787,3.218033
acc_x_zcr,20,23.500000,0.296697,0.013174,69.524046,4.209813
acc_spec_entropy,21,23.750000,0.355091,0.010698,14.579588,268.561512
st_range,22,25.000000,0.218070,0.034545,25.987794,13.301092
acc_svm_std,23,25.250000,0.366558,0.009571,9.891901,2611.058637
acc_z_std,24,25.500000,0.413280,0.009095,17.103740,236.443792
eda_scl_mean,25,25.500000,0.297723,0.008375,136.995292,10.319397
eda_scl_delta,26,25.750000,0.289086,0.010603,72.847611,4.817178
eda_pow_vlf,27,26.500000,0.221814,0.014953,13.786750,3825492.524149
bvp_spec_entropy,28,28.250000,0.287848,0.021349,14.805749,4.680892
acc_pow_rapid,29,29.000000,0.313236,0.014609,2.207946,5845.001980
eda_scr_amp_max,30,29.250000,0.253955,0.012777,14.167667,433.925534
acc_svm_kurt,31,30.500000,0.275021,0.009160,20.969227,71.119850
acc_z_zcr,32,30.750000,0.286433,0.012333,35.053806,2.637309
eda_pow_scr,33,31.500000,0.173440,0.017909,8.483696,2074682.481276
bvp_std,34,32.000000,0.305646,0.007356,34.224889,8.420130
bvp_notch_depth,35,34.000000,0.135713,0.012687,51.854150,3.839951
eda_scr_rec_time,36,34.000000,0.195770,0.013662,21.065269,6.666479
bvp_pw50,37,35.000000,0.203388,0.017457,36.239858,1.321315
acc_svm_range,38,35.250000,0.240477,0.013378,8.288955,64.222337
acc_pow_sway,39,35.750000,0.277972,0.014168,0.672071,8428.920514
bvp_kurt,40,36.000000,0.232244,0.009142,38.189952,2.583813
eda_spec_centroid,41,38.500000,0.230870,0.030404,12.378205,1.045151
eda_scr_rate,42,40.000000,0.241355,0.010719,19.505549,1.315868
bvp_skew,43,44.750000,0.164792,0.004955,37.349484,3.722792
eda_scr_count,44,45.250000,0.257597,0.006133,19.505549,1.315868
acc_svm_skew,45,46.000000,0.077201,0.006819,18.903589,32.296377
bvp_sys_amp_mean,46,46.000000,0.074405,0.006095,48.200967,2.960916
eda_sampen,47,46.750000,0.206308,0.017525,10.599649,0.645912
acc_dom_freq,48,47.000000,0.279913,0.002896,8.463734,22.065871
