feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
acc_pow_rapid,1,8.500000,0.073549,0.043108,677.537282,7044613.903751
acc_activity_count,2,11.250000,0.085555,0.023977,266.796985,9169.761242
acc_x_std,3,11.750000,0.085555,0.018631,183.299756,52663.947650
acc_svm_mean,4,12.250000,0.085555,0.017143,232.471580,57969.155907
acc_corr_xz,5,12.250000,0.090498,0.033189,158.364809,22.520609
acc_spec_entropy,6,12.750000,0.085555,0.024060,240.227491,2333.333267
eda_scl_delta,7,15.500000,0.090498,0.052144,82.959105,7.004955
acc_corr_yz,8,15.750000,0.068605,0.037218,294.598429,22.248168
acc_svm_kurt,9,16.250000,0.090498,0.016428,1046.482079,9.093478
acc_y_std,10,17.000000,0.068605,0.028318,181.518459,20801.796564
bvp_ptt,11,19.500000,0.085555,0.043897,102.869891,5.429242
acc_corr_xy,12,20.000000,0.068605,0.031001,219.668590,17.968180
acc_y_zcr,13,20.750000,0.085555,0.028721,123.106926,4.155668
eda_mean,14,21.250000,0.085555,0.010309,191.688982,15.721232
eda_scl_mean,15,21.750000,0.068605,0.020619,189.442360,15.641290
acc_svm_range,16,22.000000,0.063662,0.038424,113.379316,2423.164383
acc_pow_sway,17,22.250000,0.080611,0.018186,35.118622,815002.134258
acc_z_std,18,22.250000,0.068605,0.010309,196.704915,11321.316123
acc_z_zcr,19,24.250000,0.085555,0.012694,124.789384,6.369983
acc_svm_std,20,25.250000,0.082730,0.000000,139.900441,102357.884082
ibi_mean,21,26.750000,0.068605,0.018500,114.715549,12.714331
acc_x_zcr,22,27.750000,0.068605,0.030195,134.051938,2.494808
bvp_sys_amp_mean,23,28.500000,0.068605,0.018008,129.154148,5.205926
acc_pow_voluntary,24,29.250000,0.080611,0.007925,22.858794,4214.940332
eda_std,25,29.500000,0.063662,0.018008,87.203374,442.500853
eda_max,26,29.500000,0.080611,0.004373,81.546484,75.570901
acc_svm_skew,27,29.750000,0.045506,0.017693,391.277064,13.725741
bvp_notch_depth,28,29.750000,0.068605,0.014166,124.934787,6.377709
bvp_pw50,29,30.000000,0.090498,0.018531,35.430573,1.406305
eda_scr_auc,30,31.000000,0.080611,0.006079,23.975761,1497.807819
acc_posture_trans,31,31.500000,0.090498,0.003475,87.935859,2.692928
eda_scr_rate,32,34.000000,0.077080,0.033628,30.265432,0.897791
bvp_std,33,34.000000,0.077080,0.000000,134.354746,31.126973
acc_pow_tremor,34,34.750000,0.052362,0.004852,79.037305,28467.149674
bvp_hr_mean,35,37.000000,0.077080,0.002337,106.853992,4.648189
eda_range,36,37.500000,0.067899,0.001987,77.731191,327.738494
eda_zcr,37,38.250000,0.080611,0.044241,3.780713,0.734569
eda_scr_rec_time,38,40.000000,0.059425,0.007699,73.488732,5.838192
eda_scr_amp_max,39,40.250000,0.067899,0.000000,59.196511,1005.310814
bvp_kurt,40,41.000000,0.077080,0.004616,47.313236,1.182175
eda_pow_scr,41,41.500000,0.026997,0.007753,12.196882,5348171.223149
eda_pow_vlf,42,42.750000,0.063662,0.000000,17.491247,13999311.889131
bvp_skew,43,43.250000,0.064368,0.006834,54.453282,1.655047
eda_scr_amp_mean,44,43.750000,0.072136,0.000000,7.050449,2544.492968
st_range,45,43.750000,0.063662,0.001763,58.244725,6.579375
acc_z_mean,46,44.000000,0.000000,0.034576,55.075129,1.910276
bvp_aug_idx,47,45.250000,0.058718,0.007591,47.185222,2.397462
acc_y_mean,48,46.750000,0.000000,0.035744,19.850178,2.935777
bvp_sqi,49,46.750000,0.072136,0.002337,21.371958,1.683893
eda_scl_slope,50,47.250000,0.000000,0.024842,3.998059,18.244443
acc_dom_freq,51,47.750000,0.085555,0.000000,0.991489,5.635093
ibi_sampen,52,49.750000,0.000143,0.005133,18.507416,46.950389
eda_sampen,53,50.750000,0.063662,0.010019,16.546383,0.680802
eda_spec_centroid,54,51.250000,0.049538,0.011797,16.846241,0.828315
st_std,55,51.500000,0.063662,0.000000,58.009264,6.456399
ibi_sdnn,56,52.000000,0.042475,0.019378,9.035392,0.612312
acc_svm_sampen,57,54.000000,0.067899,0.000000,36.974363,3.009676
st_max,58,55.250000,0.049538,0.006426,19.749115,0.589719
eda_skew,59,55.750000,0.008760,0.009938,23.117560,0.682912
eda_scr_count,60,56.000000,0.060131,0.000000,30.265432,0.897791
bvp_spec_entropy,61,59.250000,0.037834,0.000000,30.336129,1.465526
bvp_harm_ratio,62,59.500000,0.024550,0.000000,24.038578,2.676088
eda_kurt,63,59.500000,0.000000,0.003475,53.993285,1.077957
bvp_mean,64,60.000000,0.007514,0.012354,4.986487,0.588076
bvp_f0,65,60.750000,0.075668,0.002337,2.726829,0.077290
bvp_hr_std,66,60.750000,0.053775,0.000000,8.412795,1.327011
acc_x_mean,67,62.000000,0.000000,0.000000,8.272160,6.029684
st_mean,68,65.250000,0.047552,0.003475,8.216639,0.366966
ibi_cv,69,65.750000,0.000000,0.010309,5.238675,0.574932
ibi_hf,70,66.000000,0.027282,0.001763,2.873315,0.709042
ibi_sd2,71,66.750000,0.055187,0.000000,8.571353,0.584619
ibi_vlf,72,67.000000,0.048125,0.002679,0.748035,0.540322
st_delta,73,68.500000,0.067465,0.000000,11.937966,0.339484
eda_scr_rise_mean,74,69.000000,0.011371,0.005166,0.852156,0.496489
ibi_dfa_alpha1,75,69.750000,0.028812,0.002337,1.851605,0.519663
ibi_rmssd,76,70.500000,0.001612,0.002337,3.170354,0.533364
st_slope,77,72.750000,0.000000,0.002337,2.274179,0.574683
eda_min,78,73.000000,0.000000,0.002610,1.588221,0.475892
ibi_sd1_sd2,79,74.500000,0.024857,0.000000,4.383246,0.531817
ibi_lf,80,75.750000,0.007171,0.000000,1.165687,0.576382
