feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
acc_pow_rapid,1,4.750000,0.087079,0.082353,591.957161,73.979337
acc_svm_mean,2,6.500000,0.084979,0.035294,489.451456,323.386484
acc_pow_voluntary,3,6.750000,0.081477,0.035294,868.327893,293.325362
acc_x_std,4,8.000000,0.084979,0.035294,321.373246,308.628239
acc_activity_count,5,8.500000,0.070273,0.082353,593.890640,52.988366
acc_pow_tremor,6,9.000000,0.070273,0.047059,800.353899,156.356440
acc_y_std,7,9.500000,0.068172,0.070588,372.988559,158.367981
acc_z_std,8,11.000000,0.084979,0.023529,383.864398,40.411870
acc_svm_std,9,11.750000,0.080077,0.023529,167.375646,577.466455
acc_z_zcr,10,14.750000,0.084979,0.023529,193.373694,2.477788
acc_svm_range,11,15.250000,0.073774,0.032277,156.377901,19.149336
acc_corr_xy,12,15.750000,0.068172,0.035294,299.487436,11.817670
acc_x_zcr,13,17.000000,0.068172,0.038311,180.299754,2.180155
ibi_mean,14,17.500000,0.084979,0.058824,36.268923,0.895889
acc_y_zcr,15,18.500000,0.068172,0.023529,200.434397,3.354362
acc_pow_sway,16,20.500000,0.080077,0.000000,84.185169,322.359628
acc_corr_xz,17,22.500000,0.080077,0.005932,34.267890,1.275101
bvp_hr_mean,18,24.000000,0.084979,0.023529,27.319292,0.638080
acc_corr_yz,19,24.250000,0.049269,0.071935,7.337527,2.760757
acc_y_mean,20,24.750000,0.068172,0.031306,36.355847,0.795938
acc_z_mean,21,26.000000,0.071673,0.047059,22.480782,0.617192
acc_spec_entropy,22,26.500000,0.063270,0.000000,50.957532,45.560264
eda_scr_auc,23,29.000000,0.035316,0.011765,6.635493,95.184087
acc_svm_kurt,24,29.500000,0.073074,0.011765,23.810293,0.652063
acc_x_mean,25,30.000000,0.015451,0.041127,35.900652,0.981780
eda_std,26,33.750000,0.035316,0.011765,2.416347,21.615188
eda_kurt,27,35.750000,0.004434,0.005833,47.925327,1.021204
bvp_ptt,28,36.000000,0.084979,0.000000,25.365318,0.779747
eda_spec_centroid,29,36.500000,0.054867,0.007776,16.662965,0.600573
acc_svm_skew,30,39.250000,0.021683,0.000000,13.148206,1.875736
eda_scr_count,31,40.500000,0.035916,0.004585,7.132025,0.602091
acc_dom_freq,32,40.750000,0.080077,0.000000,0.039945,8.666258
eda_range,33,41.000000,0.035316,0.000000,6.341336,22.488842
eda_scr_amp_max,34,41.000000,0.017109,0.000000,13.032909,145.972728
eda_scl_mean,35,41.750000,0.063270,0.000000,12.556933,0.519229
eda_max,36,43.000000,0.026840,0.000000,9.266431,7.440239
eda_scr_amp_mean,37,43.250000,0.026840,0.000000,6.077657,36.806194
acc_svm_sampen,38,43.750000,0.067472,0.000000,22.513007,1.022303
eda_pow_vlf,39,44.750000,0.035316,0.000000,0.069665,57807.170143
bvp_aug_idx,40,45.250000,0.024745,0.000000,13.776399,1.125352
eda_scr_rec_time,41,47.000000,0.019704,0.000000,5.829707,2.446134
eda_pow_scr,42,47.250000,0.035316,0.000000,0.000548,44328.808274
acc_posture_trans,43,48.000000,0.008843,0.000000,2.563747,0.922347
eda_mean,44,48.750000,0.063270,0.000000,12.852071,0.524916
bvp_f0,45,49.000000,0.000000,0.017697,108.407900,0.019217
bvp_spec_entropy,46,50.750000,0.000000,0.003989,3.777923,0.666043
bvp_sqi,47,50.750000,0.053466,0.000000,2.969322,0.962076
bvp_hr_std,48,51.500000,0.019100,0.000000,2.312917,0.802500
eda_scr_rise_mean,49,52.000000,0.047163,0.000000,9.730540,0.517278
bvp_harm_ratio,50,52.000000,0.034492,0.000000,21.743003,0.643899
bvp_kurt,51,52.750000,0.056967,0.000000,6.827320,0.628847
st_acf1,52,52.750000,0.000386,0.000000,0.442337,1.034598
eda_scl_delta,53,52.750000,0.000000,0.023529,6.329753,0.443443
eda_scr_rate,54,53.000000,0.025375,0.000000,7.132025,0.602091
ibi_sd1,55,53.250000,0.000000,0.011765,1.252188,0.681307
ibi_vlf,56,55.000000,0.056967,0.000000,0.469911,0.797921
bvp_pw50,57,56.000000,0.001604,0.000000,3.140458,0.864280
ibi_sampen,58,56.500000,0.051365,0.000000,1.081272,0.460786
eda_min,59,59.000000,0.000000,0.017597,3.008359,0.368954
bvp_skew,60,59.500000,0.039460,0.000000,5.680159,0.552116
bvp_sys_amp_mean,61,60.500000,0.000000,0.000000,1.289933,0.591274
st_min,62,60.500000,0.017601,0.000000,0.465978,0.385790
ibi_sd2,63,60.750000,0.000000,0.000000,0.626009,0.849323
st_mean,64,61.750000,0.015521,0.000000,0.482046,0.328036
ibi_lf_hf,65,62.250000,0.025622,0.000000,0.006578,0.571643
eda_zcr,66,62.750000,0.002360,0.000000,0.499653,0.589910
bvp_mean,67,62.750000,0.018059,0.000000,6.696499,0.553087
ibi_dfa_alpha1,68,63.250000,0.000000,0.000000,1.230972,0.538975
eda_skew,69,63.250000,0.000000,0.000000,2.365347,0.613679
ibi_cv,70,65.000000,0.000000,0.000000,2.199754,0.747179
st_max,71,65.250000,0.009222,0.000000,0.403883,0.315707
