feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
acc_x_std,1,6.500000,0.158886,0.029226,552.228289,57538.269633
acc_svm_mean,2,10.750000,0.138858,0.035770,741.957485,99351.477071
acc_pow_tremor,3,11.500000,0.149362,0.017618,576.202738,194846.403897
st_std,4,12.250000,0.156084,0.042908,483.455419,12.013171
acc_svm_range,5,14.750000,0.154684,0.022492,215.733306,2210.491171
eda_std,6,15.750000,0.139278,0.049272,263.012319,446.829326
bvp_ptt,7,16.250000,0.155664,0.043688,220.129103,5.831792
acc_y_std,8,16.250000,0.126673,0.022617,528.163139,47567.960945
ibi_mean,9,19.250000,0.171491,0.017866,252.153626,5.579571
acc_pow_rapid,10,19.500000,0.124572,0.017912,351.827709,582503.021875
eda_scl_mean,11,19.750000,0.143479,0.017001,373.179909,18.449503
acc_pow_voluntary,12,21.500000,0.135076,0.010101,442.155142,13807.765028
acc_z_std,13,22.500000,0.163087,0.001727,520.498007,24039.120569
eda_mean,14,23.500000,0.126673,0.019439,368.764959,19.137933
acc_pow_sway,15,24.750000,0.130874,0.010101,162.114911,3217359.903483
acc_spec_entropy,16,25.500000,0.150482,0.004894,210.328488,1119.714439
bvp_std,17,26.500000,0.143479,0.007544,337.596699,34.455674
acc_svm_std,18,27.250000,0.122471,0.009667,308.010271,83210.181600
st_max,19,27.500000,0.149782,0.036079,91.398275,1.436544
bvp_notch_depth,20,27.750000,0.130874,0.019593,194.041485,4.557234
acc_svm_kurt,21,28.250000,0.141659,0.020544,107.508565,3.587152
eda_range,22,29.250000,0.100482,0.020255,134.826038,374.881899
eda_max,23,29.250000,0.132695,0.010856,140.009594,84.226658
acc_activity_count,24,31.500000,0.150482,0.000000,366.813687,3788.229841
eda_scr_amp_max,25,32.500000,0.129474,0.009712,92.540720,2207.172740
acc_svm_skew,26,33.000000,0.096898,0.020210,176.794495,5.427308
ibi_sd2,27,33.250000,0.150062,0.022618,40.208483,0.877070
acc_y_zcr,28,33.750000,0.132975,0.013001,121.357995,3.354636
bvp_hr_mean,29,34.500000,0.148662,0.009800,141.865968,1.537469
ibi_sdnn,30,34.750000,0.162667,0.012265,47.056641,1.083164
acc_corr_xy,31,34.750000,0.118310,0.018255,159.077913,2.082891
bvp_f0,32,35.000000,0.179474,0.007811,896.823824,0.008571
eda_scr_auc,33,35.500000,0.140678,0.000000,123.338076,2963.417042
acc_z_zcr,34,35.500000,0.147681,0.008634,89.945536,3.792392
eda_pow_vlf,35,37.000000,0.143479,0.000000,107.998911,8135451.948144
acc_corr_yz,36,37.000000,0.140958,0.014637,46.459154,1.841493
ibi_sampen,37,38.250000,0.111480,0.000000,4721.000924,50.865550
acc_corr_xz,38,38.500000,0.100473,0.004091,258.039477,15.904001
eda_pow_scr,39,38.750000,0.086114,0.007544,58.540085,14711292.157155
st_range,40,39.250000,0.141379,0.000000,155.048164,8.645427
bvp_sys_amp_mean,41,39.250000,0.120370,0.007597,173.792580,4.469308
acc_svm_sampen,42,40.250000,0.126673,0.012359,62.947813,1.905647
bvp_skew,43,40.500000,0.100256,0.023388,51.845371,1.300025
eda_scr_amp_mean,44,40.750000,0.122471,0.000000,101.708796,2410.752545
eda_scr_rec_time,45,41.250000,0.089896,0.004384,243.401988,6.404136
ibi_pnn50,46,42.750000,0.127653,0.057196,22.268055,0.582810
st_mean,47,43.000000,0.141659,0.008154,63.868238,0.839255
ibi_sd1,48,43.500000,0.134656,0.025509,29.720881,0.503244
eda_zcr,49,48.000000,0.139698,0.016448,4.850415,0.619237
eda_scr_count,50,48.250000,0.123872,0.010045,32.141546,0.762755
ibi_lf,51,48.250000,0.115468,0.023996,5.691876,0.643303
ibi_rmssd,52,48.500000,0.145860,0.009712,29.741211,0.505027
acc_dom_freq,53,48.500000,0.163367,0.000000,1.789909,4.552712
acc_x_mean,54,49.750000,0.029497,0.007544,29.248664,20.489746
bvp_aug_idx,55,50.000000,0.102163,0.010109,0.744686,12.753936
acc_x_zcr,56,51.250000,0.080467,0.003971,90.846667,2.257055
bvp_pw50,57,52.000000,0.099164,0.016446,13.747050,0.674049
bvp_kurt,58,53.500000,0.074304,0.009491,40.727564,0.970915
ibi_hf,59,54.250000,0.086929,0.015630,9.865970,0.635822
eda_spec_centroid,60,55.500000,0.107485,0.009833,18.881799,0.606073
eda_scr_rate,61,56.250000,0.115468,0.002336,32.141546,0.762755
st_slope,62,57.250000,0.000000,0.022760,1.609429,1.611442
ibi_cv,63,57.750000,0.061932,0.012437,11.096832,0.617466
eda_scl_delta,64,58.500000,0.082480,0.002504,8.748420,2.933375
st_delta,65,58.500000,0.084186,0.010101,16.916172,0.598070
acc_y_mean,66,60.250000,0.000000,0.004579,3.350488,10.194840
bvp_harm_ratio,67,61.000000,0.034842,0.002591,24.303434,0.884367
eda_scl_slope,68,62.000000,0.000000,0.002336,2.215900,17.223182
st_rate_change,69,62.250000,0.000000,0.012572,1.609429,1.611442
eda_skew,70,63.000000,0.031206,0.004579,0.782057,3.237949
eda_sampen,71,64.250000,0.093900,0.002504,17.528871,0.541278
acc_z_mean,72,66.500000,0.000000,0.000000,28.549825,1.999994
ibi_sd1_sd2,73,66.500000,0.051469,0.001947,20.476338,0.607250
eda_kurt,74,67.000000,0.016281,0.000000,0.050427,194.761044
ibi_total_pow,75,67.000000,0.068151,0.001467,8.550287,0.692504
bvp_spec_entropy,76,67.250000,0.025432,0.002290,6.277758,0.867222
st_min,77,68.500000,0.073309,0.002591,8.962574,0.429259
acc_posture_trans,78,70.000000,0.004639,0.000000,3.533625,0.981675
eda_scr_rise_mean,79,71.500000,0.000000,0.002290,4.802790,0.622293
bvp_sqi,80,73.500000,0.044512,0.000000,9.332762,0.446420
st_acf1,81,75.750000,0.000000,0.000000,0.495470,2.888671
ibi_hfnu,82,76.750000,0.000000,0.002557,2.644466,0.535052
ibi_vlf,83,77.500000,0.008482,0.000000,2.435791,0.580631
bvp_mean,84,78.250000,0.010433,0.000000,0.954445,0.590459
bvp_hr_std,85,80.250000,0.030903,0.000000,1.490103,0.325229
ibi_dfa_alpha1,86,81.000000,0.000000,0.000000,1.734953,0.612817
ibi_lfnu,87,81.500000,0.000000,0.000000,2.644466,0.535052
ibi_lf_hf,88,81.750000,0.000000,0.000000,0.937170,1.053655
st_pow_ultra_slow,89,87.250000,0.000000,0.000000,0.000000,0.000000
bvp_resp_mod,90,87.750000,0.000000,0.000000,0.000000,0.000000
st_pow_slow,91,88.750000,0.000000,0.000000,0.000000,0.000000
st_asymmetry,92,88.750000,0.000000,0.000000,0.000000,0.000000
eda_min,93,89.250000,0.000000,0.000000,0.129501,0.406861
