feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
acc_x_std,1,7.500000,0.231457,0.030695,1015.237435,61968.862190
acc_pow_rapid,2,7.500000,0.213792,0.044048,520.144784,607558.951534
acc_y_std,3,9.250000,0.245463,0.022492,1046.934047,55427.627356
acc_svm_range,4,10.250000,0.211709,0.040004,589.151402,5213.834857
acc_pow_voluntary,5,11.750000,0.217311,0.024046,545.763603,66828.747250
acc_activity_count,6,13.750000,0.220866,0.027804,317.674513,16123.692304
acc_svm_std,7,14.750000,0.212194,0.011080,792.488748,204032.403404
acc_svm_mean,8,16.250000,0.246583,0.007597,564.781523,102344.802320
bvp_notch_depth,9,16.750000,0.266563,0.013055,510.650289,16.474145
acc_pow_tremor,10,17.500000,0.175039,0.028896,150.224823,7660807.939512
bvp_ptt,11,17.500000,0.216694,0.040148,331.869643,10.415649
eda_scl_mean,12,18.750000,0.189079,0.027598,360.394490,33.135311
acc_pow_sway,13,19.500000,0.151036,0.027984,265.001976,6662597.424904
acc_z_std,14,20.000000,0.246863,0.002916,1053.081455,29695.668395
eda_mean,15,21.500000,0.179350,0.024124,357.030858,32.717756
eda_scr_rec_time,16,22.000000,0.235859,0.030327,84.200126,13.660371
ibi_mean,17,22.250000,0.292098,0.005645,820.455600,19.044844
bvp_std,18,23.750000,0.203148,0.007972,494.490242,43.394804
bvp_pw50,19,24.000000,0.165896,0.030533,164.107436,14.097426
bvp_sys_amp_mean,20,25.250000,0.241811,0.007927,413.261833,11.131144
acc_y_zcr,21,26.750000,0.182590,0.031393,140.751386,2.288300
st_std,22,27.750000,0.198215,0.010599,104.323221,16.675122
bvp_f0,23,28.500000,0.277691,0.030106,387.306256,0.026243
eda_scr_count,24,29.000000,0.191898,0.018829,120.522359,3.461855
st_range,25,29.250000,0.211036,0.010229,97.888184,12.940666
eda_scr_amp_max,26,30.250000,0.184906,0.008510,71.077799,6542.893480
bvp_aug_idx,27,30.500000,0.232873,0.012168,102.123955,1.712416
eda_pow_scr,28,30.750000,0.120558,0.012760,54.744472,20608045.233732
eda_scr_rate,29,30.750000,0.182196,0.017336,120.522359,3.461855
eda_range,30,32.000000,0.164518,0.008193,92.338656,635.330119
acc_spec_entropy,31,32.250000,0.146624,0.010253,88.603364,912.261954
eda_scr_auc,32,32.500000,0.142818,0.012113,76.090927,4199.793548
bvp_skew,33,32.500000,0.179440,0.011171,132.637552,4.574418
eda_sampen,34,33.000000,0.242305,0.031006,26.254424,0.891626
eda_scr_amp_mean,35,33.250000,0.181378,0.000986,289.298813,11032.800156
eda_max,36,33.500000,0.150935,0.009584,87.863801,130.147279
bvp_hr_mean,37,35.000000,0.187868,0.005836,185.516705,8.690671
eda_std,38,35.000000,0.165993,0.005601,96.359011,778.737777
acc_z_zcr,39,35.750000,0.154837,0.008674,202.664310,4.611529
acc_corr_yz,40,36.500000,0.155934,0.010138,84.418438,12.909387
bvp_kurt,41,36.750000,0.151963,0.015128,83.762472,4.174067
eda_min,42,38.500000,0.189124,0.032049,25.721048,0.674713
bvp_sqi,43,41.000000,0.140565,0.008969,85.577543,4.654512
eda_pow_vlf,44,42.750000,0.100888,0.002017,52.741558,41687750.795410
acc_svm_kurt,45,45.000000,0.118902,0.025485,7.714204,7.406069
eda_spec_centroid,46,47.250000,0.208979,0.007464,24.966391,0.872502
eda_scl_delta,47,47.500000,0.093251,0.012729,23.516523,2.277140
acc_z_mean,48,48.000000,0.060892,0.011878,57.121908,1.768792
st_mean,49,48.000000,0.157472,0.029899,20.073913,0.370136
acc_x_mean,50,50.750000,0.024721,0.016131,1.383205,22.470840
ibi_rmssd,51,52.000000,0.162266,0.009216,14.736740,0.706436
bvp_hr_std,52,52.500000,0.131917,0.001516,55.819799,3.771575
acc_x_zcr,53,52.750000,0.072504,0.007824,54.063521,1.497157
st_max,54,53.750000,0.138256,0.005418,65.270765,1.046206
acc_svm_sampen,55,54.500000,0.148689,0.000895,42.263972,1.904159
acc_corr_xy,56,55.000000,0.083199,0.004184,16.695902,8.216276
ibi_sd1,57,55.500000,0.156179,0.006556,14.534817,0.707697
ibi_sdnn,58,56.250000,0.083134,0.006434,31.986221,1.146514
acc_corr_xz,59,56.750000,0.007240,0.001706,39.846378,14.926163
st_slope,60,57.750000,0.052887,0.012644,4.403557,1.473877
ibi_sd2,61,58.750000,0.061913,0.005722,26.699914,1.150599
ibi_cv,62,59.250000,0.083329,0.006080,16.986023,0.951291
bvp_harm_ratio,63,60.000000,0.035777,0.004197,15.035958,2.714019
acc_svm_skew,64,60.250000,0.005309,0.003263,7.240677,18.668604
st_delta,65,61.000000,0.109143,0.006718,21.803089,0.489758
acc_y_mean,66,61.250000,0.015233,0.000000,25.033979,27.117837
bvp_spec_entropy,67,61.250000,0.018781,0.006076,20.755831,1.276914
ibi_lf,68,61.250000,0.129220,0.006790,6.553814,0.700972
eda_scl_slope,69,62.500000,0.012148,0.000000,7.913956,19.961607
st_min,70,63.250000,0.079608,0.006338,9.895683,0.703372
ibi_pnn50,71,66.000000,0.109663,0.003174,9.333212,0.562833
acc_dom_freq,72,66.250000,0.000000,0.002471,3.814823,12.844890
eda_skew,73,66.250000,0.051575,0.001944,12.285880,1.177091
acc_posture_trans,74,70.000000,0.000000,0.002678,6.141543,2.430998
eda_zcr,75,70.750000,0.141012,0.000000,5.041731,0.556584
ibi_sd1_sd2,76,71.000000,0.077146,0.002137,4.855085,0.563343
ibi_vlf,77,72.250000,0.000000,0.000000,13.901521,1.607046
st_rate_change,78,73.000000,0.048877,0.000000,4.403557,1.473877
ibi_total_pow,79,74.250000,0.031981,0.000000,8.999322,0.859321
eda_scr_rise_mean,80,76.250000,0.034898,0.000866,3.473467,0.611931
ibi_hf,81,76.500000,0.082400,0.000000,4.524352,0.653208
eda_kurt,82,77.000000,0.000000,0.000000,0.843213,1.246838
ibi_sampen,83,78.250000,0.018268,0.001404,2.732865,0.469055
st_acf1,84,79.500000,0.006259,0.000000,0.740982,1.214069
ibi_dfa_alpha1,85,82.250000,0.000000,0.000874,1.920263,0.524663
bvp_mean,86,83.000000,0.000000,0.000000,0.216155,0.642622
ibi_lf_hf,87,84.750000,0.000000,0.000748,0.425672,0.560304
bvp_resp_mod,88,86.250000,0.000000,0.000000,0.000000,0.000000
ibi_lfnu,89,86.750000,0.000000,0.000000,1.051071,0.329765
ibi_hfnu,90,87.250000,0.000000,0.000000,1.051071,0.329765
st_pow_slow,91,88.250000,0.000000,0.000000,0.000000,0.000000
st_asymmetry,92,89.000000,0.000310,0.000000,0.000000,0.000000
st_pow_ultra_slow,93,90.750000,0.000000,0.000000,0.000000,0.000000
